,AT5G57940 ,AT1G75010,AT2G36250,AT3G52750,AT4G37190,AT2G17950,AT1G20700,AT2G01500,AT2G28610,AT2G33880,AT3G03660,AT4G35550,AT5G43810,AT5G45980,AT5G46010,AT5G59340
Senescing Leaf,0.38,-0.1,-0.19,-2.45,-0.18,-0.18,-0.23,0.8,-0.01,-0.82,-0.78,-0.46,-0.99,-0.35,-0.44,-0.3
"Shoot Apex, Inflorescence",-0.18,0.08,0.11,-0.05,0.96,0.96,-0.05,0.8,2.64,0.58,-0.29,0.88,2.59,0.29,-0.35,-0.2
"Shoot Apex, Transition",-0.23,0.35,0.23,-0.04,1.03,1.03,-0.18,-0.32,2.17,0.57,-0.44,0.94,2.46,-0.66,0,-0.19
"Shoot Apex, Vegetative",-0.27,0.17,0.35,0.1,0.75,0.75,-0.15,-0.32,0.91,-0.35,0.72,0.29,1.91,0.42,0.16,0.26
"Stem, 2nd Internode",0.86,-0.17,-1.09,-0.19,-0.18,-0.18,1.64,0.21,-2.84,-0.83,-1.81,0.28,-0.17,-0.04,-0.02,-0.48
Mature Pollen,-4.31,-1.03,-4.16,-3.56,-0.83,-0.83,2.19,1.31,0.95,0.05,1.58,-4.16,-1.51,0.31,-0.41,0.03
Seeds Stage 3 w/ Siliques,-0.25,0.13,-0.46,0.6,-0.34,-0.34,0.06,-0.15,-1.68,1.05,0,0.63,-0.37,0.1,2.29,0.2
Seeds Stage 4 w/ Siliques,-0.43,-0.34,-0.44,-0.13,0.14,0.14,-0.86,-0.47,0.14,1.32,0.47,-0.43,1.34,2.34,0.97,0.52
Seeds Stage 5 w/ Siliques,-0.35,-0.81,-0.3,-0.31,-0.03,-0.03,-1.1,-0.55,0.01,1.29,0.82,-0.53,1.72,1.45,-0.29,-0.52
Seeds Stage 6 w/o Siliques,-0.32,-1.03,-0.34,-0.71,-0.13,-0.13,0.2,-0.47,1.15,1.67,0.66,-0.96,2.22,1.61,0.49,0.28
Seeds Stage 7 w/o Siliques,-0.32,-0.84,-0.38,-1.15,-0.44,-0.44,0.47,-0.32,0.95,1.52,0.48,-1.05,1.88,0.8,-0.08,0.96
Seeds Stage 8 w/o Siliques,-0.34,-1.31,-0.71,-2.77,-0.53,-0.53,0.76,0.47,0.59,0.92,-0.76,-1.54,0.53,0.73,0.68,2.52
Seeds Stage 9 w/o Siliques,-0.13,-1.32,-0.74,-4.64,-0.38,-0.38,1.08,2.48,1.4,1.05,1.67,-1.29,-0.32,1.12,0.92,4.32
Seeds Stage 10 w/o Siliques,-0.47,-0.98,-0.58,-4.39,-1.05,-1.05,1.07,1.41,1.67,0.98,1.5,-1.41,-0.94,0.21,0.23,3
Vegetative Rosette,-0.07,0.69,0.63,0.9,1.28,1.28,-0.34,-0.47,-1.51,-0.33,-0.69,-0.09,1.43,-0.6,-1.61,-0.67
