,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Usain_Bolt,0,0,0,0,10.03,9.72,9.58,9.82,9.76,9.63
Asafa_Powell,10.02,9.87,9.77,9.77,9.74,9.72,9.82,9.82,9.78,9.85
Tyson_Gay,0,10.06,10.08,9.84,9.84,9.77,9.69,9.78,9.79,9.8
Yohan_Blake,0,0,0,0,0,0,10.07,9.89,9.82,9.69
Justin_Gatlin,10.05,9.85,9.88,0,0,0,0,10.09,9.95,9.79
Mike_Rodgers,0,0,0,0,0,10.06,9.94,10,9.85,9.94
Nesta_Carter,0,0,0,0,0,9.98,9.91,9.78,9.89,9.95
