Excgflg,Mktflg,Date,Rmrf,Smb,Hml
0,A,2009/6/9,0.0058,0.0035,-0.0057
0,A,2009/6/10,0.0107,-0.0017,0.0079
0,A,2009/6/11,-0.0076,0.0028,-0.0067
0,A,2009/6/12,-0.0198,-0.0007,-0.0016
0,A,2009/6/15,0.0184,0.0059,-0.0031
0,A,2009/6/16,-0.0012,-0.0004,0.0008
0,A,2009/6/17,0.0155,-0.0062,-0.0029
0,A,2009/6/18,0.0126,-0.0071,0.0003
0,A,2009/6/19,0.0058,-0.0037,0.0056
0,A,2009/6/22,-0.0022,-0.0048,0.0071
0,A,2009/6/23,-0.0009,-0.0003,0.0074
0,A,2009/6/24,0.0127,-0.0069,0.0024
0,A,2009/6/25,-0.0007,0.0039,-0.0032
0,A,2009/6/26,0.0036,0.0072,-0.0045
0,A,2009/6/29,0.014,-0.0064,0
0,A,2009/6/30,-0.0052,-0.0016,-0.006
0,A,2009/7/1,0.0191,-0.0068,0.0022
0,A,2009/7/2,0.0127,-0.0023,0.0061
0,A,2009/7/3,0.0124,-0.0045,0.0004
0,A,2009/7/6,0.0121,-0.0113,0.0107
0,A,2009/7/7,-0.0065,0.0065,-0.0049
0,A,2009/7/8,0.0034,0.0048,-0.0014
0,A,2009/7/9,0.0157,0.0027,0.0017
0,A,2009/7/10,0.0016,-0.0008,-0.0042
0,A,2009/7/13,-0.0047,0.0096,-0.0116
0,A,2009/7/14,0.0235,-0.0045,0.005
0,A,2009/7/15,0.0096,-0.0038,0.0096
0,A,2009/7/16,-0.0004,0.0038,-0.0004
0,A,2009/7/17,0.0036,0.0005,0.0052
0,A,2009/7/20,0.0189,-0.0048,0.0079
0,A,2009/7/21,-0.017,-0.0069,-0.0046
0,A,2009/7/22,0.0175,-0.0027,0.0072
0,A,2009/7/23,0.0119,-0.0005,0.0012
0,A,2009/7/24,0.0008,-0.0097,0.0102
0,A,2009/7/27,0.021,-0.0026,0.0039
