Stkcd,Stknme,EPS,CFOPS,NAPS,DAR,EM,CAR,CLR,GP,NPM,ROE,ROTA,CR,QR,ER,IT,ART,CAT,FAT,TTC,Nnindcd,WindInd
600000,浦发银行,1.83,4.963,9.5155,94.2888,17.5095,,,,41.3625,20.9481,1.177,,,16.7104,,,,8.8741,0.0285,CSRC货币金融服务,Wind银行
600004,白云机场,0.65,1.5623,6.2836,26.336,1.3575,19.3575,91.6902,38.9539,16.9283,10.6852,7.6128,0.8016,0.7793,0.3697,58.3172,7.0435,2.4881,0.5756,0.4497,CSRC航空运输业,Wind运输
600005,武钢股份,0.021,0.3819,3.5282,62.7699,2.686,26.3999,86.0534,5.4757,0.0449,0.5872,0.0422,0.4887,0.253,1.7401,5.9397,79.5584,3.6186,1.5304,0.9401,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600006,东风汽车,0.0109,-0.1815,2.9891,59.6065,2.4756,61.5214,86.6176,11.2716,0.7838,0.3626,0.7299,1.1916,0.9351,1.8548,6.2484,23.1498,1.4602,5.4633,0.9313,CSRC汽车制造业,Wind汽车与汽车零部件
600007,中国国贸,0.38,0.9726,4.6606,49.8863,1.9955,7.0814,18.1552,47.0658,19.3569,8.3738,4.0781,0.7819,0.744,0.9958,34.2388,12.1277,3.0504,1.3894,0.2107,CSRC房地产业,Wind房地产
600008,首创股份,0.2642,0.0298,2.5924,59.4012,2.4631,43.5815,55.1224,43.6103,22.0742,10.4798,3.6446,1.331,0.7791,2.2867,0.6264,3.5486,0.3791,0.8719,0.1651,CSRC水的生产和供应业,Wind公用事业Ⅱ
600009,上海机场,0.82,1.1326,8.1918,17.2912,1.2091,29.4283,25.6758,37.932,36.4019,10.1527,8.9662,6.6285,6.6069,0.2126,157.1384,5.2408,0.9272,0.4057,0.2463,CSRC航空运输业,Wind运输
600010,包钢股份,0.06,0.9852,2.6369,79.3816,4.85,44.7138,72.7931,7.6334,0.6991,1.9819,0.455,0.7738,0.3603,3.9065,2.3561,35.6485,1.3471,2.3284,0.6509,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600011,华能国际,0.42,1.9159,3.9544,74.7264,3.9567,13.6825,47.557,16.2952,5.115,11.109,2.6808,0.385,0.3081,3.4534,15.4161,9.0041,3.8524,0.8528,0.5241,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600012,皖通高速,0.459,0.7897,3.9451,35.4144,1.5483,8.9376,22.7044,62.6883,37.7083,11.8813,7.8177,1.1115,1.1076,0.6134,238.0213,,2.525,3.2224,0.2073,CSRC道路运输业,Wind运输
600015,华夏银行,1.44,13.8464,10.9047,94.9812,19.9251,,,,32.1685,18.4657,0.9364,,,18.9324,,,,5.5228,0.0291,CSRC货币金融服务,Wind银行
600016,民生银行,1.34,-0.7012,5.7491,94.7527,19.0574,,,,37.1522,25.6688,1.4081,,,18.6627,,,,9.8276,0.0379,CSRC货币金融服务,Wind银行
600017,日照港,0.26,0.3192,2.8132,34.6407,1.53,18.5646,64.9959,28.4355,16.8738,10.398,6.6797,0.8245,0.7819,0.5532,24.7172,12.5435,2.0446,0.6822,0.3959,CSRC水上运输业,Wind运输
600018,上港集团,0.2184,0.2875,2.0978,38.4765,1.6254,21.7037,48.2323,32.0709,20.5747,10.6792,6.8552,1.1695,0.9857,0.7021,9.6691,12.1319,1.5588,0.7814,0.3332,CSRC水上运输业,Wind运输
600019,宝钢股份,0.58,1.2957,6.4692,45.2588,1.8268,32.3669,84.7562,7.4587,5.4584,9.5339,4.6842,0.8438,0.4936,0.871,5.3454,24.6212,2.5773,1.9661,0.8598,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600020,中原高速,0.2313,0.8296,3.0243,78.0164,4.5488,10.2649,39.6455,53.396,13.2309,7.9147,1.7107,0.3319,0.2613,3.5635,2.3887,48.6173,1.1815,0.2249,0.1293,CSRC道路运输业,Wind运输
600021,上海电力,0.4138,1.5021,3.2674,68.1711,3.1418,13.7935,28.5272,17.3937,7.6506,13.7472,3.6441,0.7093,0.6274,3.0913,20.3971,7.7463,3.1625,0.8195,0.4763,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600022,山东钢铁,-0.6521,0.4804,1.9966,75.7358,4.1213,29.4052,90.4961,0.3817,-5.232,-38.2404,-9.2135,0.429,0.2738,3.1354,14.6696,34.5856,6.6665,2.5931,1.761,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600023,浙能电力,0.45,1.13,3.46,51.4935,2.0616,20.653,45.8653,15.0629,9.8258,13.563,5.8946,0.8745,0.7099,1.5077,11.5033,9.6651,2.8159,1.0848,0.5999,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600026,中海发展,0.0217,0.2873,6.9076,57.8546,2.3727,11.1672,18.8887,-0.9331,1.2349,0.3128,0.2517,1.0219,0.8742,1.4234,12.81,10.0358,1.8108,0.3051,0.2039,CSRC水上运输业,Wind运输
600027,华电国际,0.201,1.6663,2.6186,83.2019,5.9531,10.4264,41.1992,16.0054,3.2223,8.0082,1.2251,0.3042,0.2442,7.0939,16.2218,10.3108,3.9449,0.6066,0.3802,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600028,中国石化,0.562,1.6524,5.9131,55.8555,2.2653,27.6404,70.7809,14.853,2.3837,12.8564,5.587,0.6991,0.2565,1.357,11.2514,39.7677,8.2876,4.8247,2.3438,CSRC石油和天然气开采业,Wind能源Ⅱ
600029,南方航空,0.27,1.3633,3.3348,72.2122,3.5987,11.7808,46.1914,15.3237,3.7395,8.1089,2.793,0.3532,0.3173,3.1429,51.6729,49.8565,5.5957,1.0869,0.7469,CSRC航空运输业,Wind运输
600030,中信证券,0.38,-1.7339,7.8484,48.5576,1.9439,,,,36.8295,4.8973,2.719,,,0.9463,,,,3.5126,0.0738,CSRC资本市场服务,Wind多元金融
600031,三一重工,0.75,0.7482,3.0314,61.8167,2.6189,61.8714,56.9481,31.747,12.835,26.6439,10.384,1.7575,1.2943,1.7311,3.4285,3.5641,1.2714,3.6807,0.809,CSRC专用设备制造业,Wind资本货物
600033,福建高速,0.15,0.5987,2.6378,54.7878,2.2118,5.4926,28.8046,66.5761,23.0587,5.7386,2.8259,0.348,0.3449,1.4964,134.0569,7.2848,3.1464,0.1328,0.1226,CSRC道路运输业,Wind运输
600035,楚天高速,0.21,0.7096,3.5767,68.2214,3.1468,18.5356,22.3489,62.3466,20.4651,5.9706,1.8299,1.2157,1.2157,2.4176,,1280.7819,0.5546,2.3234,0.0894,CSRC道路运输业,Wind运输
600036,招商银行,2.1,11.5733,9.2845,94.1199,17.0065,,,,39.934,24.7823,1.4597,,,16.0122,,,,6.3817,0.0366,CSRC货币金融服务,Wind银行
600037,歌华有线,0.2805,0.8386,5.1941,47.1452,1.892,32.5301,22.3541,6.5013,13.5213,5.4953,2.764,3.0867,2.9984,0.8926,15.9562,87.6883,0.6188,0.3957,0.2044,CSRC电信、广播电视和卫星传输服务,Wind媒体Ⅱ
600038,哈飞股份,0.4979,-1.3215,11.2386,67.9846,3.1235,91.6709,100,13.5276,4.043,7.4511,2.8475,1.3484,0.4435,2.1235,1.0376,4.1754,0.7877,21.7343,0.7043,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
600039,四川路桥,0.6451,0.5733,3.6713,86.5607,7.4409,50.4232,67.3404,11.1014,2.8466,27.2575,3.3112,0.865,0.4513,7.7366,4.0148,39.8838,2.225,12.3801,1.1632,CSRC土木工程建筑业,Wind资本货物
600048,保利地产,1.18,0.4333,5.9521,78.1901,4.5851,96.7987,71.527,36.1852,14.4815,21.7077,4.4729,1.7308,0.3807,4.6224,0.2573,46.9077,0.3197,59.4468,0.3089,CSRC房地产业,Wind房地产
600050,中国联通,0.1117,3.526,3.4108,59.0564,2.4424,9.3063,98.5917,30.1081,2.7415,3.3046,1.4383,0.1598,0.1406,4.2342,34.2639,19.1678,5.8835,0.7399,0.5247,CSRC电信、广播电视和卫星传输服务,Wind电信服务Ⅱ
600051,宁波联合,0.11,0.0051,6.2235,69.2709,3.2542,69.5255,90.0384,8.9788,0.5961,1.8135,0.3028,1.1147,0.3077,2.3876,0.9468,27.2841,0.7127,4.4161,0.508,CSRC批发业,Wind资本货物
600052,浙江广厦,0.07,0.0148,2.1003,77.4066,4.4261,89.4863,81.2653,42.7084,2.2769,2.7726,0.3887,1.4226,0.2969,3.9938,0.1377,213.0425,0.1923,3.3001,0.1707,CSRC房地产业,Wind房地产
600053,中江地产,0.0292,0.0123,1.8292,73.446,3.7659,94.5844,84.1728,23.209,3.8255,1.6076,0.4403,1.53,0.0951,2.7659,0.0985,687.6573,0.1186,15.7592,0.1151,CSRC房地产业,Wind房地产
600054,黄山旅游,0.51,0.7666,4.0332,43.0826,1.7569,37.1794,96.7451,39.9661,14.1506,13.2306,8.1767,0.892,0.2945,0.7659,1.3154,35.6838,1.4836,1.3803,0.5778,CSRC公共设施管理业,Wind消费者服务Ⅱ
600055,华润万东,0.16,0.2704,3.0561,40.876,1.6914,66.5366,95.5802,31.8845,4.8685,5.2007,3.1937,1.703,1.183,0.7004,2.1608,3.2383,0.9734,3.228,0.656,CSRC专用设备制造业,Wind医疗保健设备与服务
600056,中国医药,0.9097,2.5859,9.9242,71.832,3.5501,90.4832,68.565,11.099,4.1374,19.0291,5.7124,1.8372,1.1361,2.9365,3.3032,5.3495,1.5362,68.742,1.3807,CSRC医药制造业,Wind医疗保健设备与服务
600057,象屿股份,0.13,0.5498,1.79,74.8941,3.9831,71.4466,90.9309,2.9265,0.4303,7.7654,1.8571,1.0491,0.6819,3.2849,17.3213,59.7979,6.011,160.889,4.3163,CSRC商务服务业,Wind运输
600058,五矿发展,-0.3549,3.7539,7.7055,75.4744,4.0774,66.8372,93.9275,1.024,-0.5244,-4.3899,-1.6881,0.9428,0.6347,4.0068,12.3381,43.4628,4.7009,13.6183,3.2189,CSRC批发业,Wind资本货物
600059,古越龙山,0.3,0.1132,3.7935,32.0411,1.4715,60.2041,98.88,37.9678,13.5259,8.1941,5.7573,1.9002,0.5498,0.4772,0.6159,12.8876,0.7175,1.4643,0.4257,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600060,海信电器,1.229,0.1789,6.7229,50.7891,2.0321,82.8731,99.4942,18.018,6.4579,20.0999,9.4822,1.64,1.2497,1.0552,7.0419,22.0998,1.7131,22.0443,1.4683,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
600061,中纺投资,0.01,0.2465,1.3752,65.7745,2.9218,78.6275,96.7841,4.72,0.157,0.8676,0.3314,1.2351,0.5961,1.9267,4.9943,40.8671,2.7579,14.6184,2.1105,CSRC纺织业,Wind耐用消费品与服装
600062,华润双鹤,1.0747,0.6928,8.14,27.6752,1.3827,59.7986,93.4068,33.3061,9.0216,13.7894,10.0208,2.3132,1.8501,0.387,6.2986,7.5612,1.8421,4.1697,1.1108,CSRC医药制造业,Wind制药、生物科技与生命科学
600063,皖维高新,-0.1,0.1062,1.6273,57.3503,2.3447,21.0368,66.9389,7.7606,-5.643,-6.3546,-2.8466,0.548,0.321,1.4195,5.3851,20.508,2.3857,0.9174,0.5044,CSRC化学纤维制造业,Wind材料Ⅱ
600064,南京高科,0.744,0.7314,10.0248,65.8403,2.9274,58.3643,75.7019,42.3535,19.2145,7.7911,2.655,1.171,0.3035,2.08,0.1816,4.0032,0.236,16.85,0.1391,CSRC房地产业,Wind房地产
600066,宇通客车,1.28,1.9455,10.3715,48.7394,1.9508,70.1474,92.0141,19.9651,7.8417,29.1081,14.0004,1.5641,1.3676,0.9514,13.2926,8.2747,2.5509,9.5082,1.7854,CSRC汽车制造业,Wind汽车与汽车零部件
600067,冠城大通,0.71,0.8918,3.0406,65.9946,2.9407,87.5775,90.3465,25.3575,13.7741,24.5815,7.1337,1.4688,0.4196,2.7287,0.6217,10.985,0.5945,8.9935,0.5179,CSRC房地产业,Wind资本货物
600068,葛洲坝,0.448,-0.0761,3.574,78.5312,4.6579,60.1601,65.1726,13.3118,3.5205,13.2446,2.6412,1.1754,0.6062,4.8141,2.3738,13.5491,1.2558,5.5615,0.7502,CSRC土木工程建筑业,Wind资本货物
600069,银鸽投资,0.02,0.131,2.2315,71.4634,3.5043,36.9851,68.4958,5.5814,0.3123,0.8997,0.1759,0.7556,0.5926,2.4924,6.1794,9.2906,1.3777,1.3359,0.5631,CSRC造纸和纸制品业,Wind材料Ⅱ
600070,浙江富润,0.7,0.7311,3.2244,46.9672,1.8856,51.7685,83.9687,14.6525,17.3698,22.9781,12.2272,1.3127,0.8951,1.2337,3.6842,29.222,1.4066,2.653,0.7039,CSRC纺织业,Wind耐用消费品与服装
600071,凤凰光学,0.0263,0.3757,2.6167,21.7283,1.2776,52.1843,100,7.0655,-0.0363,1.0083,-0.0458,2.4017,1.912,0.3534,9.0697,9.5681,2.2845,3.8815,1.2613,CSRC仪器仪表制造业,Wind耐用消费品与服装
600072,*ST钢构,-0.159,-0.2928,2.7609,42.7781,1.7476,52.2214,70.8186,-0.8477,-9.349,-5.5546,-4.0497,1.7238,1.1874,0.7821,2.5579,2.334,0.8486,1.3464,0.4332,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
600073,上海梅林,0.17,0.0524,2.5084,60.6852,2.5436,55.2464,93.3006,14.3978,1.6472,7.6057,2.721,0.9757,0.6842,1.7004,8.8939,15.7514,2.8678,8.2454,1.6519,CSRC食品制造业,Wind食品、饮料与烟草
600074,中达股份,-0.587,0.1356,-0.2336,102.7736,,21.8532,95.0155,0.5749,-33.6885,-467.6025,-22.9884,0.2238,0.1491,,10.1591,19.6708,2.939,1.3807,0.6824,CSRC橡胶和塑料制品业,Wind材料Ⅱ
600075,*ST新业,-0.16,0.2724,3.9169,50.9417,2.0384,46.5145,98.4848,12.9547,-1.91,-4.046,-1.7278,0.9271,0.2899,1.3295,2.38,24.9138,1.9894,1.9673,0.9046,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600076,青鸟华光,-0.01,-0.0371,0.2353,45.1697,1.8238,97.0345,99.9551,37.793,-49.8772,-7.354,-1.7413,2.1492,0.4012,2.0693,0.0281,4.7818,0.0366,4.7981,0.0349,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600077,宋都股份,0.36,1.2707,2.0363,70.9556,3.443,96.7456,61.1092,42.6426,13.1101,19.4144,3.7349,2.2312,0.4885,3.4701,0.2182,211.8396,0.2936,47.5516,0.2849,CSRC房地产业,Wind房地产
600078,澄星股份,0.042,0.9449,2.6292,67.9263,3.1178,57.8039,95.4648,16.9309,1.8611,1.589,0.7835,0.8914,0.6292,2.2632,2.3566,26.3341,0.7164,1.1889,0.421,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600079,人福医药,0.82,0.3491,6.125,53.5747,2.154,57.4341,75.3446,39.837,10.5949,14.3133,8.0296,1.4228,1.1844,1.3935,3.7926,5.0339,1.3258,5.6365,0.7579,CSRC医药制造业,Wind制药、生物科技与生命科学
600080,金花股份,0.145,0.0598,3.1457,14.3971,1.1682,25.5515,95.5141,51.422,9.5117,4.7168,3.9918,1.8581,1.5448,0.1685,5.3421,8.6217,1.8508,1.0387,0.4197,CSRC医药制造业,Wind制药、生物科技与生命科学
600081,东风科技,0.309,0.9909,2.2986,50.8824,2.0359,52.9571,99.6237,18.729,6.1771,14.4168,7.7717,1.0447,0.837,1.3071,9.3524,5.1854,2.2288,5.6384,1.2581,CSRC汽车制造业,Wind汽车与汽车零部件
600082,海泰发展,0.07,-0.9141,2.5762,40.3076,1.6753,94.2384,85.6665,13.9952,5.0917,2.5743,1.4598,2.7292,0.5387,0.6753,0.4041,387.6237,0.3215,17.8192,0.2867,CSRC综合,Wind房地产
600083,博信股份,-0.028,0.0352,0.1002,47.8785,1.9186,36.2139,95.3822,0.9873,-53.3954,-24.253,-15.3692,0.793,0.793,0.9186,,,0.9159,4.2389,0.2878,CSRC计算机、通信和其他电子设备制造业,Wind资本货物
600084,中葡股份,0.0123,-0.0767,1.1568,68.1809,3.1428,65.5275,81.8525,48.4819,2.2509,1.0678,0.4993,1.1742,0.3403,2.045,0.2562,8.9361,0.3437,1.2986,0.2218,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600085,同仁堂,0.438,0.6708,3.0564,42.0312,1.7251,83.5783,71.3367,43.9123,11.7086,15.2919,10.338,2.7875,1.518,1.0213,1.2295,24.3047,1.0697,8.1428,0.8829,CSRC医药制造业,Wind制药、生物科技与生命科学
600086,东方金钰,0.455,0.9642,2.088,85.0905,6.7071,91.6163,72.3672,8.6325,3.321,24.4589,3.9609,1.4878,0.0973,5.7071,1.3247,126.8181,1.3266,240.6779,1.1927,CSRC其他制造业,Wind耐用消费品与服装
600087,退市长油,-0.365,-0.0545,1.1098,80.4327,5.1106,26.8642,36.3326,-7.2726,-18.6803,-28.2495,-6.3685,0.9193,0.849,4.2106,17.551,11.5722,1.3297,0.5012,0.3409,CSRC水上运输业,Wind运输
600088,中视传媒,0.136,-1.7409,3.1767,41.5486,1.7108,75.0812,100,11.2502,3.9522,4.3289,2.3239,1.8071,1.6642,0.7338,6.063,9.3833,0.7558,2.8241,0.588,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
600089,特变电工,0.3721,0.7276,5.1832,64.5705,2.8225,55.1932,64.3817,16.8685,4.5924,7.3979,2.4675,1.3277,1.0929,1.9874,4.6078,6.0583,0.9341,2.456,0.5373,CSRC电气机械和器材制造业,Wind资本货物
600090,啤酒花,0.039,0.5643,1.1808,40.9512,1.6935,35.9108,98.814,39.1559,8.453,3.3498,8.638,0.8874,0.3517,1.1761,2.7562,259.8987,2.8396,2.3009,1.0219,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600091,ST明科,0.04,-0.2553,1.661,58.1714,2.3907,36.0483,95.9363,14.488,37.3357,2.1238,0.8808,0.6459,0.147,1.3907,0.073,3.5801,0.0668,0.7893,0.0236,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600093,禾嘉股份,0.062,0.2141,1.1537,45.8658,1.8473,47.9757,94.7051,26.8267,4.5489,5.5466,2.9728,1.1045,0.7275,0.8521,3.2486,5.0787,1.4896,1.7876,0.6535,CSRC汽车制造业,Wind汽车与汽车零部件
600094,大名城,0.125,-0.7317,1.5686,65.9935,2.9406,89.7994,69.3672,46.9732,15.1307,8.3003,2.85,1.9616,0.5209,2.8907,0.1354,925.5665,0.2063,5.7112,0.1884,CSRC房地产业,Wind房地产
600095,哈高科,0.0678,0.1414,1.8685,54.6878,2.2069,72.8,68.6531,16.579,5.06,3.727,1.1534,1.939,0.8399,1.2585,0.4343,8.2928,0.3294,1.2607,0.2279,CSRC农副食品加工业,Wind食品、饮料与烟草
600096,云天化,0.1279,3.9735,16.1078,74.4243,3.91,23.0786,50.3129,15.983,-5.5407,-9.2239,-2.024,0.6163,0.4124,3.8745,3.9591,12.9818,1.4779,0.8454,0.3653,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600097,开创国际,0.64,1.5931,3.9281,39.7583,1.66,40.1999,82.5973,12.1458,15.7081,17.4092,9.7028,1.2241,0.935,0.66,6.0803,49.9665,1.5944,1.2627,0.6177,CSRC渔业,Wind食品、饮料与烟草
600098,广州发展,0.3429,1.1054,4.6715,51.3149,2.054,22.2411,35.1785,16.6492,7.7236,7.9496,4.3965,1.2321,1.0904,1.3096,16.7619,14.4551,2.4887,1.2444,0.5692,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600099,林海股份,0.0022,0.0029,2.1781,9.4477,1.1043,67.1389,100,8.0928,0.2242,0.1032,0.0932,7.1063,6.4613,0.1043,6.5599,8.5667,0.6019,1.8738,0.4157,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind汽车与汽车零部件
600100,同方股份,0.31,0.3619,4.6211,66.6073,2.9947,52.9129,82.995,16.1631,3.7763,6.8795,2.6419,0.9572,0.6424,2.4689,3.4909,5.1512,1.2654,5.9407,0.6996,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600101,明星电力,0.34,0.6129,4.893,35.9734,1.5619,12.8646,61.6448,26.1434,11.1149,7.1833,4.0112,0.5801,0.4624,0.5785,11.2577,174.002,3.0723,0.6059,0.3609,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600103,青山纸业,-0.3014,-0.1205,1.2956,58.1302,2.3884,39.791,69.109,9.1626,-18.3646,-21.0481,-8.7961,0.9905,0.4859,1.4879,2.3633,11.5989,1.2238,1.2809,0.479,CSRC造纸和纸制品业,Wind材料Ⅱ
600104,上汽集团,1.882,1.7769,11.0958,54.2859,2.1875,59.6321,90.7983,16.2759,7.0079,18.4707,10.5462,1.2098,1.0502,1.4076,14.7788,34.9243,2.5289,15.6458,1.5129,CSRC汽车制造业,Wind汽车与汽车零部件
600105,永鼎股份,0.03,0.2379,3.7128,57.1064,2.3314,70.3288,94.9949,13.392,1.9511,0.8051,0.7089,1.2964,0.5876,1.5397,0.8258,2.4107,0.5262,7.0238,0.3634,CSRC电气机械和器材制造业,Wind技术硬件与设备
600106,重庆路桥,0.2564,0.2525,2.2758,61.4992,2.5973,20.3212,13.9774,88.8307,72.3146,11.7777,4.2302,2.364,0.983,1.5974,0.0841,4.7307,0.2793,0.8565,0.0585,CSRC道路运输业,Wind运输
600107,美尔雅,0.04,0.3803,1.4438,73.7347,3.8073,85.5915,92.4759,43.7233,7.4506,3.0489,1.5248,1.2552,1.0209,3.6366,0.7563,10.3747,0.3061,2.5665,0.2583,CSRC纺织服装、服饰业,Wind耐用消费品与服装
600108,亚盛集团,0.2413,0.2039,2.2151,28.683,1.4022,46.9487,72.2816,25.536,20.3876,12.9339,8.6492,2.2645,1.8887,0.4067,3.7264,5.379,1.0395,3.9172,0.4242,CSRC农业,Wind食品、饮料与烟草
600109,国金证券,0.274,-0.1561,4.9008,49.6957,1.9879,,,,17.8939,5.7253,2.5556,,,0.989,,,,31.344,0.1428,CSRC资本市场服务,Wind多元金融
600110,中科英华,0.0045,-0.1065,1.7177,61.0405,2.5668,37.1065,73.2441,16.7733,0.4009,0.2655,0.1255,0.83,0.6509,1.6335,3.1294,3.5947,0.8918,0.9353,0.313,CSRC电气机械和器材制造业,Wind材料Ⅱ
600111,包钢稀土,0.62,-0.4058,2.7745,43.717,1.7767,65.5978,91.1537,41.2908,18.0998,24.453,10.333,1.6461,0.5526,1.1482,0.7595,18.8814,0.8533,4.4865,0.5709,CSRC有色金属冶炼和压延加工业,Wind材料Ⅱ
600112,天成控股,0.147,-0.0624,2.3198,53.0667,2.1307,53.6142,46.4295,29.5326,9.061,6.5317,3.1642,2.176,1.7781,1.1307,2.3571,4.2302,0.5866,2.8306,0.3492,CSRC电气机械和器材制造业,Wind资本货物
600113,浙江东日,0.09,-0.3953,1.7472,19.6238,1.2441,67.2401,100,15.6172,9.8453,5.2408,3.9436,3.4265,0.5444,0.2775,0.7824,659.7123,0.6074,12.9012,0.4006,CSRC批发业,Wind房地产
600114,东睦股份,0.19,0.9307,3.3278,54.9074,2.2177,38.8507,83.8007,24.7932,4.4736,5.8726,2.8073,0.8443,0.6386,1.3519,4.5795,4.4108,1.5456,1.3675,0.6275,CSRC金属制品业,Wind汽车与汽车零部件
600115,东方航空,0.28,1.1206,1.5893,79.2972,4.8303,10.4783,50.9191,12.7019,3.8569,15.6577,2.8307,0.2595,0.2168,4.1033,41.0045,33.2071,6.4857,1.1256,0.7339,CSRC航空运输业,Wind运输
600116,三峡水利,0.31,0.7339,3.9947,64.5625,2.8219,20.4402,54.0661,23.9524,7.2926,7.8965,2.2779,0.5856,0.3921,1.9097,3.4432,36.9621,1.4286,0.6454,0.3124,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600117,西宁特钢,0.04,-0.2394,3.908,75.4681,4.0763,15.1903,74.4388,17.7696,1.3424,1.0933,0.6518,0.2704,0.1367,3.8799,5.1162,51.3743,2.5668,0.906,0.4856,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600118,中国卫星,0.26,0.4149,2.6189,49.1571,1.9668,83.6619,90.6647,13.4261,7.1848,12.2487,5.9767,1.8772,1.6623,1.1541,6.7381,4.254,0.9775,17.9986,0.8319,CSRC计算机、通信和其他电子设备制造业,Wind资本货物
600119,长江投资,0.11,-0.6836,2.3885,43.1116,1.7578,54.0169,75.3996,14.9635,3.4542,4.5139,3.1251,1.6618,1.6051,0.9685,29.8778,10.2158,1.6523,3.832,0.9047,CSRC道路运输业,Wind运输
600120,浙江东方,0.79,-0.9328,7.2087,55.2538,2.2348,54.772,86.1301,11.3979,6.8332,12.0974,6.1302,1.1509,0.572,1.4887,2.7898,16.895,1.5116,29.3977,0.8971,CSRC批发业,Wind零售业
600121,郑州煤电,0.43,0.4998,3.3951,58.566,2.4135,26.3278,91.2836,10.7525,2.8117,15.9958,6.812,0.4925,0.4374,1.7808,15.4643,162.8499,6.2356,5.446,2.4227,CSRC煤炭开采和洗选业,Wind能源Ⅱ
600122,宏图高科,0.208,-0.9431,4.9593,56.4501,2.2962,77.6851,87.8561,11.3071,1.8419,4.4185,2.0786,1.5664,0.9939,1.3595,3.5798,25.0622,1.3909,23.4411,1.1285,CSRC零售业,Wind零售业
600123,兰花科创,1.6307,0.8942,8.3436,49.3287,1.9735,34.7604,47.1548,44.8278,22.0723,21.3029,9.435,1.4944,1.3416,1.0544,5.017,437.6771,1.1533,1.6562,0.4275,CSRC煤炭开采和洗选业,Wind能源Ⅱ
600125,铁龙物流,0.354,0.2565,3.1187,14.2827,1.1666,62.0752,84.6499,16.7353,11.2445,11.912,10.4345,5.1343,2.1523,0.1668,2.2022,69.7567,1.5283,2.8387,0.928,CSRC铁路运输业,Wind运输
600126,杭钢股份,-0.45,0.3533,3.9151,57.2145,2.3372,70.0139,71.0105,1.851,-2.1148,-10.8536,-4.1552,1.7233,1.255,1.4612,10.152,423.1106,2.8116,7.1306,1.9648,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600127,金健米业,0.01,-0.0443,0.905,62.8727,2.6934,51.1941,83.1981,13.4881,0.4724,1.0667,0.5066,0.9787,0.3982,1.7277,3.4296,21.311,2.1483,2.5794,1.0724,CSRC农副食品加工业,Wind食品、饮料与烟草
600128,弘业股份,0.2648,0.3261,5.5408,45.6178,1.8388,64.3965,98.7245,7.5574,2.2341,4.8528,2.6485,1.4299,1.1961,0.9021,10.4571,16.2327,1.8597,11.3387,1.1855,CSRC批发业,Wind零售业
600129,太极集团,-0.52,0.1903,2.1115,82.0908,5.5837,48.1987,84.1098,25.9628,-2.7642,-21.771,-2.2401,0.6981,0.4711,7.5865,3.592,11.385,1.5693,5.0226,0.8104,CSRC医药制造业,Wind制药、生物科技与生命科学
600130,波导股份,0.09,-0.0036,0.9845,19.8573,1.2478,69.7909,94.5465,13.4419,6.3764,9.4918,7.4173,3.7173,3.4123,0.2478,17.573,53.1484,1.6819,11.418,1.1632,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600131,岷江水电,0.14,0.3875,1.6598,64.9927,2.8565,6.203,41.7832,24.6442,8.2716,8.8135,2.7383,0.2284,0.2279,1.8702,1944.1381,,5.2208,0.5858,0.3311,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600132,重庆啤酒,0.33,0.3437,3.0692,60.1959,2.5123,40.4479,100,43.2515,3.9115,10.9359,2.9891,0.6719,0.2102,1.8876,1.5803,47.6699,1.912,1.6512,0.7642,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600133,东湖高新,0.0255,-1.0867,2.2668,81.3366,5.3581,74.2221,74.7001,16.5352,0.3865,1.3575,0.2754,1.2216,0.5845,4.553,1.8008,7.955,1.1024,2.3477,0.7126,CSRC土木工程建筑业,Wind房地产
