Stkcd,Stknme,EPS,CFOPS,NAPS,DAR,EM,CAR,CLR,GP,NPM,ROE,ROTA,CR,QR,ER,IT,ART,CAT,FAT,TTC,Nnindcd,WindInd
600692,亚通股份,0.0561,0.103,1.3681,62.6819,2.6797,57.8603,98.6234,22.9639,4.1447,4.1881,1.8897,0.936,0.3701,1.7721,0.9521,34.5283,0.7774,6.138,0.4559,CSRC水上运输业,Wind运输
600693,东百集团,0.1119,0.4045,2.9412,52.1781,2.0911,62.8499,94.34,21.5879,1.735,3.7863,1.7811,1.2768,0.5699,1.1961,3.8999,477.6596,1.866,5.2384,1.0266,CSRC零售业,Wind零售业
600694,大商股份,3.33,7.9424,15.0778,67.7144,3.0974,53.6706,89.9593,19.8689,3.3066,24.5233,7.6776,0.8811,0.799,2.1763,39.682,131.3724,4.4953,7.3664,2.3219,CSRC零售业,Wind零售业
600695,大江股份,-0.1989,-0.1594,0.4069,42.599,1.7421,30.2832,99.9706,10.9123,-39.2891,-51.0758,-22.8826,0.7111,0.6194,0.7843,5.5451,9.0404,1.6635,2.2023,0.5824,CSRC农副食品加工业,Wind食品、饮料与烟草
600696,多伦股份,0.071,-0.0183,1.5142,40.0051,1.6668,87.6984,79.9785,24.7781,12.1164,4.8271,3.4388,2.741,0.9034,0.7264,0.4292,135.3373,0.3213,23.4157,0.2838,CSRC房地产业,Wind房地产
600697,欧亚集团,1.27,3.604,7.1917,79.3081,4.8328,31.6967,85.9245,16.1127,2.9655,18.9037,3.7286,0.4651,0.2666,5.2017,9.3257,8245.7003,3.8988,2.423,1.2573,CSRC零售业,Wind零售业
600698,湖南天雁,0.0657,0.1852,0.643,37.719,1.6056,81.7247,97.8728,24.2184,7.1059,16.7719,6.7164,2.2138,1.906,0.6056,5.6144,8.7871,1.4906,4.1789,0.9452,CSRC汽车制造业,Wind汽车与汽车零部件
600699,均胜电子,0.36,1.0452,2.7729,65.1444,2.869,39.7042,72.0523,17.6772,4.6441,18.447,7.6158,0.8459,0.5646,2.0066,10.4589,10.2016,3.785,4.5277,1.6399,CSRC汽车制造业,Wind汽车与汽车零部件
600701,工大高新,0.0497,0.3206,1.8206,54.0327,2.1755,8.0161,81.4822,31.7634,2.7936,2.7705,1.2721,0.1821,0.1333,1.1859,14.8329,31.8872,5.776,3.463,0.4553,CSRC综合,Wind零售业
600702,沱牌舍得,1.0965,1.189,6.9325,32.4826,1.4811,66.4513,99.9826,60.3259,18.8755,16.9367,10.9921,2.0461,0.5482,0.4811,0.4844,53.6778,0.8815,2.9965,0.5823,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600703,三安光电,0.56,0.2802,4.184,45.9509,1.8502,40.9536,25.9473,26.755,24.3536,13.8391,7.7809,3.4348,2.7674,0.8855,2.6712,5.9174,0.7972,0.9785,0.3195,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600704,物产中大,0.5417,-0.6693,4.9728,77.6082,4.4659,82.658,91.8107,7.7844,1.4499,11.763,2.4575,1.1601,0.4135,4.7913,2.9405,72.5287,2.0621,32.5618,1.7078,CSRC零售业,Wind零售业
600705,中航投资,0.53,2.284,3.5268,84.3912,6.4066,67.7041,83.2731,51.3852,104.9316,23.343,4.8908,0.9634,0.9632,10.3589,76.5708,99.99,0.1993,52.2043,0.1354,CSRC其他金融业,Wind多元金融
600706,曲江文旅,0.49,0.5074,3.7375,61.1731,2.5755,26.6018,89.2425,32.0253,6.1878,24.1291,7.9733,0.4873,0.4339,1.5997,15.1683,15.3673,4.8647,4.1578,1.2886,CSRC公共设施管理业,Wind消费者服务Ⅱ
600707,彩虹股份,-2.338,-0.0772,2.6735,75.8035,4.1328,22.0612,25.1767,-8.2586,-891.0758,-60.8429,-26.2704,1.156,1.0748,3.0799,2.5376,2.1591,0.141,0.1873,0.0295,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600708,海博股份,0.2962,0.9514,2.6685,58.7183,2.4224,16.2326,90.8578,20.6769,8.1132,11.5406,4.4256,0.3043,0.268,1.6649,22.0412,23.1268,3.2375,1.7174,0.5455,CSRC道路运输业,Wind资本货物
600710,常林股份,0.02,-0.1457,3.2603,32.1498,1.4738,55.1959,91.538,10.7101,0.7051,0.4604,0.3075,1.8755,1.2838,0.4752,1.9833,3.0756,0.7699,2.5478,0.4361,CSRC专用设备制造业,Wind资本货物
