section,test1,test2,test3,hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,hw9,hw10,hw11,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,quiz9,quiz10,quiz11,quiz12,quiz13,project1,project2,final
2,52,68,66,2,8.7,9,9,10,7,10,14.1,7.7,10.5,28,9,7,9,9,10,8,7,10,10,10,10,9,10,B+,A+,35
2,75,80,75,2,10,8.8,9,8,6,11,0,3,14,30,9.5,10,9.5,10,9,9,0,8,10,0,0,9,5,A-,D,80
3,38,75,101,2,12,9,7,10,8,13,17,9,16,30,9,10,10,10,10,9,10,10,10,10,10,10,10,A-,A+,69
3,92,95,81,2,12,9,10,9,8,13,17,9,16,21,10,10,10,10,7,10,10,7,8,7,10,10,8,B-,A-,105
3,46,59,65,2,9.3,9,9,9,0,11,10.9,7.7,15.2,25,8,9,10,10,9,9,6,,7,5,10,4,10,B-,C-,79
1,95,100,94,2,12,9,11,10,8,13,17,9,16,28,9,10,10,10,10,10,9,10,10,10,10,10,10,A+,A+,93
1,41,69,78,2,12,9,1,8,7,13,16.3,8.3,16,28,7,10,9,9,7,10,6,10,8,0,0,10,10,C,B-,72
3,98,98,95,2,12,9,11,10,8,13,17,8.3,16,28,10,10,10,9,10,10,8,10,10,10,10,10,10,B+,A-,108
3,61,75,76,2,11,9,11,10,8,13,11.8,5.5,14,23,10,10,10,10,10,10,9,10,10,10,8,10,10,B+,B-,69
2,36,90,92,2,12,8.8,9,10,8,13,15.4,7.7,16,27,10,9,9,7,9,9,8,8,9,7,10,6,8,B-,C+,83
2,37,56,85,2,9.3,7,9,9,7,12,15.3,3.9,0,25,0,10,10,7,7,1,0,0,9,0,9,8,1,F-,B,40
2,73,76,79,2,11.7,9,9,9,8,11,15.7,9,15.2,28,10,7,10,6,10,10,9,10,10,10,10,10,10,B-,B-,81
1,53,0,0,2,10,8.5,9,9,0,0,0,0,0,0,9,0,10,10,10,10,0,0,0,0,0,0,0,,B,0
3,68,89,96,2,12,9,11,10,8,13,17,7.7,16,23,9,9,10,10,10,9,9.5,8,7,10,10,10,10,A-,B+,100
1,65,73,90,2,11.3,8.8,9,10,8,13,16.5,9,16,21,8,10,10,10,10,10,10,0,10,10,10,10,10,B-,B,99
3,89,80,85,2,11.7,9,11,10,6,13,17,8.7,16,30,9,10,10,10,10,9,10,10,10,10,10,10,10,A-,A-,63
2,87,98,85,2,11.7,9,11,10,8,12,15.8,8.7,13,28,10,10,10,10,10,9,10,7,10,9,10,10,10,A-,B+,74
2,67,90,78,2,11.7,9,10,9,7,10,16.3,6.7,14.2,24,9,8,10,10,10,10,10,10,10,10,10,10,10,C,A+,88
2,87,69,66,2,12,9,8,7,8,11,3,7.2,16,28,10,10,10,9,10,10,8,10,10,10,10,10,10,B+,A+,88
2,82,87,98,2,12,9,10,9,8,12.5,17,8,15,28,10,10,10,9,9,10,10,10,7,10,10,10,8,B+,B-,104
3,22,0,0,2,5,5.8,0,0,0,0,0,0,0,,6,10,10,9,,,,,,,,,,,,0
3,58,44,68,2,4.3,8.5,9,4,4,12,5.5,4,11.7,,10,9,10,10,10,9,,,9,10,10,10,9,A-,A+,55
1,102,90,101,2,12,9,11,10,8,12,17,6.3,16,28,10,10,10,10,10,8,10,10,10,10,10,0,10,A-,D,110
1,71,75,92,2,12,9,9,10,8,11.5,17,8,16,28,10,8,10,10,10,8,9,8,10,9,10,9,10,B+,C-,95
3,98,92,101,2,12,9,10,10,8,12,17,9,16,30,9,10,10,10,10,10,10,10,10,10,10,10,10,A+,A-,112
1,92,96,92,2,11.7,9,11,10,8,13,17,9,16,28,10,10,10,10,10,10,10,10,10,10,10,10,10,A+,B+,109
3,84,81,87,2,12,9,11,9,8,6.5,15.8,7.7,16,25,10,10,10,10,10,10,9,0,10,0,10,10,10,B+,B-,87
3,86,100,97,2,12,8.8,11,10,8,13,17,9,16,28,10,9,5,10,10,10,10,10,10,10,10,10,10,B+,B,98
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1,85,87,95.5,2,10.7,9,11,9,8,13,17,6.7,16,27,8,10,10,8,10,10,8,10,10,10,10,10,10,A+,A-,105
3,41,48,68,2,4.7,6.3,11,9,8,6.5,9.6,3,15.3,22,4,10,0,9,10,8,8,5,10,10,5,8,8,A-,,64
1,90,60,58,2,11.5,0,3,2,1,10,11.7,0,8.5,24,10,6,10,9,9,9,6,10,10,10,3,10,9,A-,B,60
1,35,68,94,0,0,0,11,0,0,8,15.5,0,1.5,22,10,10,10,10,10,10,10,0,10,0,8,10,10,A-,C+,71
3,36,79,66,2,11.7,9,11,8,8,13,16.4,9,14.8,24,8,10,9,10,10,9,7,10,10,10,7,4,10,C+,C-,60
3,101,99,96,2,12,9,10,10,8,13,17,9,16,30,10,10,10,10,10,10,9,10,10,10,10,10,10,A+,A+,102
3,44,52,0,2,12,9,10,7,8,12,0,0,0,28,,10,5,10,10,8,10,6,10,10,,,,B+,A-,0
3,49,80,78,2,11.7,9,11,10,8,12,17,9,16,28,10,9,10,9,10,10,10,7.5,10,10,5,10,10,A-,B-,81
3,45,69,70,1,2.7,8.8,1,8,6,8,5.5,3,10,18,0,8,9,9,10,9,5,8,10,,10,9,,A-,B,71
3,79,51,73,2,9.3,9,3,9,6,9,11.6,6.7,14.8,28,9,9,8,10,10,10,,10,10,10,10,10,10,B+,A-,64
3,60,91,94,2,12,9,11,10,8,13,17,9,16,28,10,9,9.5,10,10,8,10,9,8,10,3,10,10,A+,C,97
1,64,89,90,2,9.7,0,3,8,8,12.5,12.5,8.5,12.2,28,10,9,10,0,10,9,10,9,10,10,10,10,10,A-,B-,106
2,53,71,92,2,12,9,11,10,8,11,11,7.7,15.5,28,10,10,10,8,8,9,7,10,9,10,0,6,9,C+,A-,67
3,38,0,0,2,6.3,9,0,0,0,0,0,0,0,,10,8,,10,10,,,,,,,,,B+,,0
3,68,36,77,2,11.7,0,9,9,7,8,6,4.3,9.5,28,7,10,10,10,10,9,7,10,7,10,8,10,10,A+,A-,60
3,40,65,67,2,9.3,9,10,8,8,10,13.5,5.8,16,28,6,8,10,10,10,9,9.5,7.5,9,10,10,10,10,B+,B-,51
1,64,94,87,2,9.7,8.5,9,10,8,10,14.8,7.7,14,24,9,10,10,0,10,0,10,10,10,10,10,10,10,A+,B+,89
2,51,92,93,2,12,9,9,10,8,8,14,0,16,27,4,10,10,6,10,10,10,7,10,10,10,10,10,B,B+,107
1,47,79,79,2,12,9,9,9,8,7.8,7.5,0,14.5,22,10,10,10,10,8,8,7,8,4,10,10,10,10,A-,D,85
2,40,8,0,2,0,0,1,0,0,0,0,0,0,0,8.5,6,9,3,6,0,0,0,0,0,0,0,0,B-,,0
2,86,96,102,2,12,9,11,10,8,13,17,9,16,25,10,10,10,10,10,10,9,10,10,10,10,9,10,A+,A+,105
1,101,98,102,2,12,9,11,9,8,13,17,9,16,26,10,8,10,10,10,10,10,10,10,10,10,9,10,B+,A+,110
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2,62,84,81,2,12,9,11,10,8,13,17,9,16,28,10,6,10,10,10,7,10,10,10,10,10,6,10,B+,A+,67
3,52,72,55,0,11,0,0,6,2,13,15.8,7.7,16,17,7,8,9,9,9,10,10,9,10,9,10,10,10,A-,B-,71
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3,63,70,68,2,12,9,11,10,8,13,15.8,3.3,16,28,9,9,10,10,10,10,10,10,10,10,10,10,10,B,B-,65
2,78,99,85,2,10.3,9,11,10,8,11,5.2,7.8,15,28,8.5,10,10,10,8,10,10,9,10,8,10,7,10,C+,B,76
2,76,79,87,2,7,8.2,4,7,6,9.8,17,5.3,15.5,20,9,9,9,9,9,9,6,8,5,5,10,8,8,B+,A-,92
3,90,93,91,2,11.3,9,9,10,8,12,12.9,5.4,16,30,10,10,7,10,10,9,9,8,10,6,10,9,10,A-,A+,74
