TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
138684,1804,W 4TH AV,CITY WIDE,21,W 4TH AV,1800,EVEN,N,1,3.00,,3,N,Y, ,PINUS,MUGO,MUGO PINE
246146,888,HELMCKEN ST,CITY WIDE,3,HELMCKEN ST,800,EVEN,N,1,3.00,,G,N,Y,SCARLET SENTINEL,ACER,FREEMANI   X,FREEMAN'S S.S. MAPLE
246151,888,HELMCKEN ST,CITY WIDE,6,HELMCKEN ST,800,EVEN,N,1,3.00,,G,N,Y,SCARLET SENTINEL,ACER,FREEMANI   X,FREEMAN'S S.S. MAPLE
246160,898,HELMCKEN ST,CITY WIDE,2,HELMCKEN ST,800,EVEN,N,1,3.00,,G,N,Y,SCARLET SENTINEL,ACER,FREEMANI   X,FREEMAN'S S.S. MAPLE
246162,1106,HORNBY ST,CITY WIDE,5,HORNBY ST,1100,EVEN,N,1,3.00,,G,N,Y,SCARLET SENTINEL,ACER,FREEMANI   X,FREEMAN'S S.S. MAPLE
246163,1108,HORNBY ST,CITY WIDE,6,HORNBY ST,1100,EVEN,N,1,3.00,,G,N,Y,SCARLET SENTINEL,ACER,FREEMANI   X,FREEMAN'S S.S. MAPLE
246165,1110,HORNBY ST,CITY WIDE,7,HORNBY ST,1100,EVEN,N,1,3.00,,G,N,Y,SCARLET SENTINEL,ACER,FREEMANI   X,FREEMAN'S S.S. MAPLE
