STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310417,231,156,72
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310418,0,239,50
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310419,0,256,61
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310420,0,233,61
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310421,0,156,39
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310422,20,167,78
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310423,69,178,83
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310424,0,200,94
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310425,0,183,72
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310426,0,189,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310427,28,183,72
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310428,66,139,78
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310429,84,128,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310430,0,189,83
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310501,0,211,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310502,157,206,89
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310503,48,194,94
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310504,13,206,89
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310505,0,233,56
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310506,0,261,89
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310507,0,278,78
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310508,0,200,106
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310509,0,228,44
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310510,0,222,61
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310511,0,189,50
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310512,0,233,33
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310513,0,278,83
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310514,0,283,94
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310515,0,278,111
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310516,23,233,122
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310517,0,272,100
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310518,0,261,111
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310519,0,183,50
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310520,0,228,56
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310521,0,239,72
